GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,JOIE001,NAME_M,JOIM001
"G0100870","2006-2010",,,"Alabama","01","Macon County","087",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Macon County, Alabama",27544,"Macon County, Alabama",2346
"G0100890","2006-2010",,,"Alabama","01","Madison County","089",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Madison County, Alabama",55851,"Madison County, Alabama",962
"G0100910","2006-2010",,,"Alabama","01","Marengo County","091",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Marengo County, Alabama",32940,"Marengo County, Alabama",2549
"G0100930","2006-2010",,,"Alabama","01","Marion County","093",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Marion County, Alabama",32769,"Marion County, Alabama",1838
"G0100950","2006-2010",,,"Alabama","01","Marshall County","095",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Marshall County, Alabama",37661,"Marshall County, Alabama",1509
"G0100970","2006-2010",,,"Alabama","01","Mobile County","097",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mobile County, Alabama",40996,"Mobile County, Alabama",723
"G0100990","2006-2010",,,"Alabama","01","Monroe County","099",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Monroe County, Alabama",30235,"Monroe County, Alabama",2027
"G0101010","2006-2010",,,"Alabama","01","Montgomery County","101",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Montgomery County, Alabama",43725,"Montgomery County, Alabama",1042
"G0101030","2006-2010",,,"Alabama","01","Morgan County","103",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morgan County, Alabama",44349,"Morgan County, Alabama",1300
"G0101050","2006-2010",,,"Alabama","01","Perry County","105",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Perry County, Alabama",25950,"Perry County, Alabama",4653
"G0101070","2006-2010",,,"Alabama","01","Pickens County","107",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pickens County, Alabama",28280,"Pickens County, Alabama",2732
"G0101090","2006-2010",,,"Alabama","01","Pike County","109",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pike County, Alabama",29181,"Pike County, Alabama",2285
"G0101110","2006-2010",,,"Alabama","01","Randolph County","111",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Randolph County, Alabama",34593,"Randolph County, Alabama",4078
"G0101130","2006-2010",,,"Alabama","01","Russell County","113",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Russell County, Alabama",32481,"Russell County, Alabama",1546
"G0101150","2006-2010",,,"Alabama","01","St. Clair County","115",,,,,,,,,,,,,,,,,,,,,,,,,,,,"St. Clair County, Alabama",48837,"St. Clair County, Alabama",2778
"G0101170","2006-2010",,,"Alabama","01","Shelby County","117",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Shelby County, Alabama",68380,"Shelby County, Alabama",1579
"G0101190","2006-2010",,,"Alabama","01","Sumter County","119",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sumter County, Alabama",25338,"Sumter County, Alabama",3336
"G0101210","2006-2010",,,"Alabama","01","Talladega County","121",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Talladega County, Alabama",36948,"Talladega County, Alabama",1331
"G0101230","2006-2010",,,"Alabama","01","Tallapoosa County","123",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tallapoosa County, Alabama",36904,"Tallapoosa County, Alabama",3149
"G0101250","2006-2010",,,"Alabama","01","Tuscaloosa County","125",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tuscaloosa County, Alabama",42311,"Tuscaloosa County, Alabama",1213
"G0101270","2006-2010",,,"Alabama","01","Walker County","127",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Walker County, Alabama",37191,"Walker County, Alabama",1751
"G0101290","2006-2010",,,"Alabama","01","Washington County","129",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Washington County, Alabama",36431,"Washington County, Alabama",4979
"G0101310","2006-2010",,,"Alabama","01","Wilcox County","131",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wilcox County, Alabama",23491,"Wilcox County, Alabama",1720
"G0101330","2006-2010",,,"Alabama","01","Winston County","133",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Winston County, Alabama",33685,"Winston County, Alabama",3118
"G0200130","2006-2010",,,"Alaska","02","Aleutians East Borough","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Aleutians East Borough, Alaska",54375,"Aleutians East Borough, Alaska",9723
"G0200160","2006-2010",,,"Alaska","02","Aleutians West Census Area","016",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Aleutians West Census Area, Alaska",72917,"Aleutians West Census Area, Alaska",10789
"G0200200","2006-2010",,,"Alaska","02","Anchorage Municipality","020",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Anchorage Municipality, Alaska",73004,"Anchorage Municipality, Alaska",1134
"G0200500","2006-2010",,,"Alaska","02","Bethel Census Area","050",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bethel Census Area, Alaska",52214,"Bethel Census Area, Alaska",3425
"G0200600","2006-2010",,,"Alaska","02","Bristol Bay Borough","060",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bristol Bay Borough, Alaska",84000,"Bristol Bay Borough, Alaska",19933
"G0200680","2006-2010",,,"Alaska","02","Denali Borough","068",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Denali Borough, Alaska",72500,"Denali Borough, Alaska",11296
"G0200700","2006-2010",,,"Alaska","02","Dillingham Census Area","070",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dillingham Census Area, Alaska",60800,"Dillingham Census Area, Alaska",5002
"G0200900","2006-2010",,,"Alaska","02","Fairbanks North Star Borough","090",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fairbanks North Star Borough, Alaska",66598,"Fairbanks North Star Borough, Alaska",2379
"G0201000","2006-2010",,,"Alaska","02","Haines Borough","100",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Haines Borough, Alaska",47981,"Haines Borough, Alaska",5863
"G0201050","2006-2010",,,"Alaska","02","Hoonah-Angoon Census Area","105",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hoonah-Angoon Census Area, Alaska",43750,"Hoonah-Angoon Census Area, Alaska",6825
"G0201100","2006-2010",,,"Alaska","02","Juneau City and Borough","110",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Juneau City and Borough, Alaska",75517,"Juneau City and Borough, Alaska",5319
"G0201220","2006-2010",,,"Alaska","02","Kenai Peninsula Borough","122",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kenai Peninsula Borough, Alaska",57454,"Kenai Peninsula Borough, Alaska",2633
"G0201300","2006-2010",,,"Alaska","02","Ketchikan Gateway Borough","130",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ketchikan Gateway Borough, Alaska",61695,"Ketchikan Gateway Borough, Alaska",5224
"G0201500","2006-2010",,,"Alaska","02","Kodiak Island Borough","150",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kodiak Island Borough, Alaska",60776,"Kodiak Island Borough, Alaska",7958
"G0201640","2006-2010",,,"Alaska","02","Lake and Peninsula Borough","164",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lake and Peninsula Borough, Alaska",40909,"Lake and Peninsula Borough, Alaska",9912
"G0201700","2006-2010",,,"Alaska","02","Matanuska-Susitna Borough","170",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Matanuska-Susitna Borough, Alaska",67703,"Matanuska-Susitna Borough, Alaska",1956
"G0201800","2006-2010",,,"Alaska","02","Nome Census Area","180",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nome Census Area, Alaska",53899,"Nome Census Area, Alaska",5457
"G0201850","2006-2010",,,"Alaska","02","North Slope Borough","185",,,,,,,,,,,,,,,,,,,,,,,,,,,,"North Slope Borough, Alaska",68517,"North Slope Borough, Alaska",6005
