STATE,COUNTY,STNAME,CTYNAME,Year,Population,State_Code
6,49,California,Modoc County,2000,9449,CA
6,51,California,Mono County,2000,12853,CA
6,53,California,Monterey County,2000,401762,CA
6,55,California,Napa County,2000,124279,CA
6,57,California,Nevada County,2000,92033,CA
6,59,California,Orange County,2000,2846289,CA
6,61,California,Placer County,2000,248399,CA
6,63,California,Plumas County,2000,20824,CA
6,65,California,Riverside County,2000,1545387,CA
6,67,California,Sacramento County,2000,1223499,CA
6,69,California,San Benito County,2000,53234,CA
6,71,California,San Bernardino County,2000,1709434,CA
6,73,California,San Diego County,2000,2813833,CA
6,75,California,San Francisco County,2000,776733,CA
6,77,California,San Joaquin County,2000,563598,CA
6,79,California,San Luis Obispo County,2000,246681,CA
6,81,California,San Mateo County,2000,707161,CA
6,83,California,Santa Barbara County,2000,399347,CA
6,85,California,Santa Clara County,2000,1682585,CA
6,87,California,Santa Cruz County,2000,255602,CA
6,89,California,Shasta County,2000,163256,CA
6,91,California,Sierra County,2000,3555,CA
6,93,California,Siskiyou County,2000,44301,CA
6,95,California,Solano County,2000,394542,CA
6,97,California,Sonoma County,2000,458614,CA
6,99,California,Stanislaus County,2000,446997,CA
6,101,California,Sutter County,2000,78930,CA
6,103,California,Tehama County,2000,56039,CA
6,105,California,Trinity County,2000,13022,CA
6,107,California,Tulare County,2000,368021,CA
6,109,California,Tuolumne County,2000,54501,CA
6,111,California,Ventura County,2000,753197,CA
6,113,California,Yolo County,2000,168660,CA
6,115,California,Yuba County,2000,60219,CA
8,1,Colorado,Adams County,2000,363857,CO
8,3,Colorado,Alamosa County,2000,14966,CO
8,5,Colorado,Arapahoe County,2000,487967,CO
8,7,Colorado,Archuleta County,2000,9898,CO
8,9,Colorado,Baca County,2000,4517,CO
8,11,Colorado,Bent County,2000,5998,CO
8,13,Colorado,Boulder County,2000,291288,CO
8,14,Colorado,Broomfield County,2000,,CO
8,15,Colorado,Chaffee County,2000,16242,CO
8,17,Colorado,Cheyenne County,2000,2231,CO
8,19,Colorado,Clear Creek County,2000,9322,CO
8,21,Colorado,Conejos County,2000,8400,CO
8,23,Colorado,Costilla County,2000,3663,CO
8,25,Colorado,Crowley County,2000,5518,CO
8,27,Colorado,Custer County,2000,3503,CO
8,29,Colorado,Delta County,2000,27834,CO
8,31,Colorado,Denver County,2000,554636,CO
8,33,Colorado,Dolores County,2000,1844,CO
8,35,Colorado,Douglas County,2000,175766,CO
8,37,Colorado,Eagle County,2000,41659,CO
8,39,Colorado,Elbert County,2000,19872,CO
8,41,Colorado,El Paso County,2000,516929,CO
8,43,Colorado,Fremont County,2000,46145,CO
8,45,Colorado,Garfield County,2000,43791,CO
8,47,Colorado,Gilpin County,2000,4757,CO
8,49,Colorado,Grand County,2000,12442,CO
8,51,Colorado,Gunnison County,2000,13956,CO
8,53,Colorado,Hinsdale County,2000,790,CO
8,55,Colorado,Huerfano County,2000,7862,CO
8,57,Colorado,Jackson County,2000,1577,CO
8,59,Colorado,Jefferson County,2000,527056,CO
8,61,Colorado,Kiowa County,2000,1622,CO
8,63,Colorado,Kit Carson County,2000,8011,CO
8,65,Colorado,Lake County,2000,7812,CO
8,67,Colorado,La Plata County,2000,43941,CO
8,69,Colorado,Larimer County,2000,251494,CO
8,71,Colorado,Las Animas County,2000,15207,CO
8,73,Colorado,Lincoln County,2000,6087,CO
8,75,Colorado,Logan County,2000,20504,CO
8,77,Colorado,Mesa County,2000,116255,CO
8,79,Colorado,Mineral County,2000,831,CO
8,81,Colorado,Moffat County,2000,13184,CO
8,83,Colorado,Montezuma County,2000,23830,CO
8,85,Colorado,Montrose County,2000,33432,CO
8,87,Colorado,Morgan County,2000,27171,CO
8,89,Colorado,Otero County,2000,20311,CO
8,91,Colorado,Ouray County,2000,3742,CO
8,93,Colorado,Park County,2000,14523,CO
8,95,Colorado,Phillips County,2000,4480,CO
8,97,Colorado,Pitkin County,2000,14872,CO
8,99,Colorado,Prowers County,2000,14483,CO
8,101,Colorado,Pueblo County,2000,141472,CO
8,103,Colorado,Rio Blanco County,2000,5986,CO
8,105,Colorado,Rio Grande County,2000,12413,CO
8,107,Colorado,Routt County,2000,19690,CO
8,109,Colorado,Saguache County,2000,5917,CO
8,111,Colorado,San Juan County,2000,558,CO
8,113,Colorado,San Miguel County,2000,6594,CO
8,115,Colorado,Sedgwick County,2000,2747,CO
8,117,Colorado,Summit County,2000,23548,CO
8,119,Colorado,Teller County,2000,20555,CO
8,121,Colorado,Washington County,2000,4926,CO
8,123,Colorado,Weld County,2000,180936,CO
8,125,Colorado,Yuma County,2000,9841,CO
9,1,Connecticut,Fairfield County,2000,882567,CT
9,3,Connecticut,Hartford County,2000,857183,CT
9,5,Connecticut,Litchfield County,2000,182193,CT
9,7,Connecticut,Middlesex County,2000,155071,CT
9,9,Connecticut,New Haven County,2000,824008,CT
9,11,Connecticut,New London County,2000,259088,CT
9,13,Connecticut,Tolland County,2000,136364,CT
9,15,Connecticut,Windham County,2000,109091,CT
10,1,Delaware,Kent County,2000,126697,DE
10,3,Delaware,New Castle County,2000,500265,DE
10,5,Delaware,Sussex County,2000,156638,DE
12,1,Florida,Alachua County,2000,217955,FL
12,3,Florida,Baker County,2000,22259,FL
12,5,Florida,Bay County,2000,148217,FL
12,7,Florida,Bradford County,2000,26088,FL
12,9,Florida,Brevard County,2000,476230,FL
12,11,Florida,Broward County,2000,1623018,FL
12,13,Florida,Calhoun County,2000,13017,FL
12,15,Florida,Charlotte County,2000,141627,FL
