Year,State_Code,County_Name,Deaths,Population,Median_Income_2010,Income_Error_Margin,_merge,Death_per_cap,imputed_death_per_cap
2003,FL,Brevard County,97.0,502985.0,49523.0,841.0,both,0.00019284869330099308,0.00019284869330099308
2003,FL,Broward County,230.0,1719073.0,51694.0,461.0,both,0.00013379303845735462,0.00013379303845735462
2003,FL,Citrus County,16.0,125757.0,37933.0,957.0,both,0.0001272294981591482,0.0001272294981591482
2003,FL,Clay County,16.0,155357.0,61185.0,1255.0,both,0.00010298860044928777,0.00010298860044928777
2003,FL,Collier County,29.0,284896.0,58106.0,1409.0,both,0.00010179153094462541,0.00010179153094462541
2003,FL,Duval County,127.0,812238.0,49463.0,578.0,both,0.00015635811178496943,0.00015635811178496943
2003,FL,Escambia County,27.0,301040.0,43573.0,982.0,both,8.968907786340686e-05,8.968907786340686e-05
2003,FL,Hernando County,15.0,142368.0,42011.0,955.0,both,0.00010536075522589345,0.00010536075522589345
2003,FL,Highlands County,10.0,90700.0,34946.0,1100.0,both,0.00011025358324145535,0.00011025358324145535
2003,FL,Hillsborough County,138.0,1071415.0,49536.0,530.0,both,0.00012880163148733218,0.00012880163148733218
2003,FL,Indian River County,10.0,119836.0,47341.0,1249.0,both,8.344737808338062e-05,8.344737808338062e-05
2003,FL,Lake County,17.0,246008.0,46477.0,905.0,both,6.910344379044584e-05,6.910344379044584e-05
2003,FL,Lee County,77.0,490139.0,50014.0,554.0,both,0.00015709829252518164,0.00015709829252518164
2003,FL,Leon County,11.0,248102.0,44490.0,986.0,both,4.433660349372436e-05,4.433660349372436e-05
2003,FL,Manatee County,42.0,286175.0,47812.0,986.0,both,0.00014676334410762646,0.00014676334410762646
2003,FL,Marion County,43.0,279156.0,40339.0,645.0,both,0.00015403573629081948,0.00015403573629081948
2003,FL,Martin County,15.0,134556.0,53210.0,2035.0,both,0.00011147774904129136,0.00011147774904129136
2003,FL,Miami-Dade County,111.0,2352658.0,43605.0,430.0,both,4.718067819462072e-05,4.718067819462072e-05
2003,FL,Monroe County,17.0,78880.0,53821.0,1818.0,both,0.00021551724137931034,0.00021551724137931034
2003,FL,Okaloosa County,20.0,178644.0,54242.0,1193.0,both,0.00011195450169051298,0.00011195450169051298
2003,FL,Orange County,83.0,965744.0,50138.0,460.0,both,8.59441011282493e-05,8.59441011282493e-05
2003,FL,Osceola County,12.0,206016.0,46328.0,907.0,both,5.824790307548928e-05,5.824790307548928e-05
2003,FL,Palm Beach County,199.0,1208940.0,53242.0,480.0,both,0.00016460701110063361,0.00016460701110063361
2003,FL,Pasco County,62.0,385513.0,44228.0,666.0,both,0.00016082466739124232,0.00016082466739124232
2003,FL,Pinellas County,135.0,923484.0,45258.0,514.0,both,0.00014618553218030849,0.00014618553218030849
2003,FL,Polk County,42.0,508118.0,43946.0,639.0,both,8.265796527578239e-05,8.265796527578239e-05
2003,FL,Santa Rosa County,21.0,132549.0,55129.0,1483.0,both,0.00015843197609940476,0.00015843197609940476
2003,FL,Sarasota County,62.0,345161.0,49388.0,870.0,both,0.00017962631931185737,0.00017962631931185737
2003,FL,Seminole County,33.0,385706.0,58971.0,1032.0,both,8.555739345511866e-05,8.555739345511866e-05
2003,FL,St. Lucie County,21.0,212555.0,45196.0,1116.0,both,9.879795817553103e-05,9.879795817553103e-05
2003,FL,Volusia County,48.0,465989.0,44400.0,707.0,both,0.00010300672333467099,0.00010300672333467099
2003,GA,Bibb County,13.0,153875.0,38798.0,1666.0,both,8.448415922014622e-05,8.448415922014622e-05
2003,GA,Cherokee County,13.0,165961.0,66320.0,1319.0,both,7.833165623248836e-05,7.833165623248836e-05
2003,GA,Clayton County,18.0,257983.0,43311.0,817.0,both,6.977203924289585e-05,6.977203924289585e-05
2003,GA,Cobb County,34.0,643816.0,65522.0,808.0,both,5.28101196615182e-05,5.28101196615182e-05
2003,GA,DeKalb County,39.0,697130.0,51349.0,763.0,both,5.594365469854977e-05,5.594365469854977e-05
2003,GA,Fulton County,75.0,881850.0,56709.0,761.0,both,8.504847763225038e-05,8.504847763225038e-05
2003,GA,Gwinnett County,21.0,666768.0,63219.0,736.0,both,3.1495212727665394e-05,3.1495212727665394e-05
2003,GA,Muscogee County,13.0,182788.0,41331.0,965.0,both,7.112064249294265e-05,7.112064249294265e-05
2003,GA,Richmond County,14.0,198345.0,37882.0,982.0,both,7.058408328921828e-05,7.058408328921828e-05
