Year,State_Code,County_Name,Deaths,Population,Median_Income_2010,_merge,bad_merge,indicator,Death_per_cap,Imputed_death_per_cap
2010,OH,Summit County,96.0,541781.0,47926.0,both,0,OH-Summit County,0.00017719336779990438,0.00017719336779990438
2010,OK,Oklahoma County,153.0,718633.0,42916.0,both,0,OK-Oklahoma County,0.00021290422232210323,0.00021290422232210323
2010,OK,Tulsa County,140.0,603403.0,45613.0,both,0,OK-Tulsa County,0.0002320174079346639,0.0002320174079346639
2010,OR,Multnomah County,143.0,735334.0,49618.0,both,0,OR-Multnomah County,0.00019446945197692478,0.00019446945197692478
2010,OR,Washington County,30.0,529710.0,62574.0,both,0,OR-Washington County,5.663476241717166e-05,5.663476241717166e-05
2010,PA,Allegheny County,231.0,1223348.0,47961.0,both,0,PA-Allegheny County,0.00018882607401982102,0.00018882607401982102
2010,PA,Berks County,49.0,411442.0,53470.0,both,0,PA-Berks County,0.00011909333514808892,0.00011909333514808892
2010,PA,Bucks County,93.0,625249.0,74828.0,both,0,PA-Bucks County,0.0001487407416885113,0.0001487407416885113
2010,PA,Chester County,55.0,498886.0,84741.0,both,0,PA-Chester County,0.00011024562725752977,0.00011024562725752977
2010,PA,Delaware County,122.0,558979.0,61876.0,both,0,PA-Delaware County,0.00021825506861617342,0.00021825506861617342
2010,PA,Lancaster County,51.0,519445.0,54765.0,both,0,PA-Lancaster County,9.818171317463831e-05,9.818171317463831e-05
2010,PA,Montgomery County,109.0,799874.0,76380.0,both,0,PA-Montgomery County,0.00013627146275538396,0.00013627146275538396
2010,PA,Philadelphia County,350.0,1526006.0,36251.0,both,0,PA-Philadelphia County,0.00022935689636869057,0.00022935689636869057
2010,PA,York County,45.0,434972.0,57494.0,both,0,PA-York County,0.0001034549350303008,0.0001034549350303008
2010,RI,Providence County,108.0,626667.0,48500.0,both,0,RI-Providence County,0.00017234033386152455,0.00017234033386152455
2010,SC,Greenville County,77.0,451225.0,46830.0,both,0,SC-Greenville County,0.00017064657321735275,0.00017064657321735275
2010,TN,Davidson County,88.0,626681.0,45668.0,both,0,TN-Davidson County,0.0001404223201277843,0.0001404223201277843
2010,TN,Knox County,87.0,432226.0,46759.0,both,0,TN-Knox County,0.00020128358775270346,0.00020128358775270346
2010,TN,Shelby County,131.0,927644.0,44705.0,both,0,TN-Shelby County,0.0001412179672374316,0.0001412179672374316
2010,TX,Bexar County,186.0,1714773.0,47048.0,both,0,TX-Bexar County,0.00010846916763909859,0.00010846916763909859
